# Time-averaged data for fix out_rdf
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3] c_rdf_all[4] c_rdf_all[5] c_rdf_all[6] c_rdf_all[7]
1000 200
1 0.02 0 0 0 0 0 0
2 0.06 0 0 0 0 0 0
3 0.1 0 0 0 0 0 0
4 0.14 0 0 0 0 0 0
5 0.18 0 0 0 0 0 0
6 0.22 0 0 0 0 0 0
7 0.26 0 0 0 0 0 0
8 0.3 0 0 0 0 0 0
9 0.34 0 0 0 0 0 0
10 0.38 0 0 0 0 0 0
11 0.42 0 0 0 0 0 0
12 0.46 0 0 0 0 0 0
13 0.5 0 0 0 0 0 0
14 0.54 0 0 0 0 0 0
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
26 1.02 0 0 0 0 0 0
27 1.06 0 0 0 0 0 0
28 1.1 0 0 0 0 0 0
29 1.14 0 0 0 0 0 0
30 1.18 0 0 0 0 0 0
31 1.22 0 0 0 0 0 0
32 1.26 0 0 0 0 0 0
33 1.3 0 0 0 0 0 0
34 1.34 0 0 0 0 0 0
35 1.38 0 0 0 0 0 0
36 1.42 0 0 0 0 0 0
37 1.46 0 0 0 0 0 0
38 1.5 0 0 0 0 0 0
39 1.54 0 0 0 0 0 0
40 1.58 0 0 0 0 0 0
41 1.62 0 0 0 0 0.0233818 9.6494e-05
42 1.66 0 0 0 0 0.690271 0.00308781
43 1.7 0 0 0 0 12.1939 0.0585076
44 1.74 0 0 0 0 58.7456 0.338212
45 1.78 0 0 0 0 119.9 0.935638
46 1.82 0 0 0 0 132.879 1.62782
47 1.86 0 0 0 0 100.616 2.17523
48 1.9 0 0 0 0 61.8519 2.52638
49 1.94 0 0 0 0 32.3078 2.71759
50 1.98 0 0 0 0 17.1903 2.82358
51 2.02 0 0 0 0 8.25567 2.87655
52 2.06 0 0 0 0 4.51126 2.90666
53 2.1 0 0 0 0 2.49057 2.92393
54 2.14 0 0 0.001052 7.57576e-06 1.55422 2.93512
55 2.18 0 0 0.00481478 4.35606e-05 1.02861 2.94281
56 2.22 0 0 0.018572 0.0001875 0.70136 2.94825
57 2.26 0 0 0.0622502 0.0006875 0.632711 2.95333
58 2.3 0 0 0.18441 0.00222159 0.502638 2.95751
59 2.34 0.000222507 1.89394e-06 0.434835 0.00596591 0.478116 2.96163
60 2.38 0.00215094 2.08333e-05 0.795822 0.0130549 0.408019 2.96526
61 2.42 0.0114416 0.000125 1.26657 0.0247197 0.34925 2.96848
62 2.46 0.0418741 0.000518939 1.75151 0.0413883 0.459656 2.97285
63 2.5 0.120854 0.00169318 2.21022 0.0631117 0.497428 2.97774
64 2.54 0.300436 0.00470644 2.4921 0.0883958 0.554809 2.98337
65 2.58 0.571588 0.0106212 2.62006 0.115822 0.725163 2.99096
66 2.62 0.961233 0.0208788 2.59488 0.143833 0.849191 3.00013
67 2.66 1.3568 0.035803 2.45138 0.17111 0.939478 3.01058
68 2.7 1.85502 0.0568258 2.27026 0.197136 1.00444 3.0221
69 2.74 2.23404 0.0828996 2.07725 0.221661 1.01618 3.03409
70 2.78 2.50409 0.112985 1.80752 0.243629 1.03746 3.0467
71 2.82 2.59748 0.145097 1.61788 0.263862 0.913058 3.05812
72 2.86 2.59951 0.178152 1.41143 0.282017 0.890192 3.06957
73 2.9 2.51135 0.210985 1.23399 0.298337 0.90472 3.08154
74 2.94 2.2866 0.24171 1.06591 0.312826 0.799796 3.09241
75 2.98 2.08735 0.270527 0.994225 0.32671 0.856798 3.10437
76 3.02 1.85489 0.296826 0.867308 0.33915 0.932919 3.11775
77 3.06 1.62794 0.320523 0.793337 0.350831 0.869386 3.13056
78 3.1 1.41924 0.341725 0.744417 0.362081 1.08334 3.14693
79 3.14 1.25023 0.360888 0.678546 0.372602 1.11815 3.16427
80 3.18 1.10585 0.378273 0.65956 0.383091 1.2601 3.1843
81 3.22 0.959516 0.393739 0.617838 0.393165 1.41045 3.2073
82 3.26 0.892325 0.408481 0.607752 0.403322 1.55506 3.23329
83 3.3 0.805378 0.422116 0.583379 0.413312 1.71667 3.26269
84 3.34 0.749507 0.435114 0.572295 0.423352 1.88664 3.29579
85 3.38 0.691458 0.447394 0.571375 0.433617 2.27728 3.3367
86 3.42 0.665379 0.459492 0.570445 0.44411 2.47267 3.38218
87 3.46 0.663617 0.471843 0.560449 0.454661 2.86517 3.43612
88 3.5 0.628545 0.483813 0.578191 0.465799 3.23251 3.49839
89 3.54 0.637754 0.496237 0.583169 0.477292 3.59565 3.56925
90 3.58 0.641455 0.509017 0.590603 0.489195 3.82695 3.64638
91 3.62 0.634979 0.521953 0.620818 0.501989 4.15334 3.73197
92 3.66 0.676019 0.53603 0.627641 0.51521 4.42492 3.82518
93 3.7 0.688534 0.550684 0.647486 0.52915 4.80935 3.92872
94 3.74 0.711859 0.566163 0.666947 0.54382 4.93663 4.03731
95 3.78 0.743427 0.582676 0.704912 0.559659 4.93431 4.14818
96 3.82 0.79298 0.600665 0.724645 0.576288 5.36556 4.27131
97 3.86 0.814572 0.619532 0.74939 0.593847 5.35377 4.39675
98 3.9 0.860986 0.63989 0.762446 0.612083 5.3131 4.52383
99 3.94 0.894371 0.661473 0.789946 0.631367 5.1781 4.65024
100 3.98 0.938626 0.684587 0.813609 0.651634 4.81759 4.77025
101 4.02 0.962936 0.708778 0.846535 0.673148 4.72725 4.89038
102 4.06 0.989655 0.734138 0.850176 0.695186 4.57501 5.00897
103 4.1 1.01697 0.760714 0.86985 0.71818 4.3146 5.12303
104 4.14 1.00843 0.787583 0.901678 0.742483 4.45122 5.243
105 4.18 1.01956 0.815277 0.898221 0.767163 4.49521 5.36652
106 4.22 1.00436 0.843081 0.918941 0.792898 4.43796 5.4908
107 4.26 0.989209 0.870989 0.939925 0.819722 4.62099 5.62268
108 4.3 0.946446 0.898193 0.955609 0.847508 4.88831 5.76481
109 4.34 0.925007 0.925278 0.982129 0.876598 5.05054 5.91441
110 4.38 0.889898 0.951818 1.01061 0.907087 5.39158 6.07707
111 4.42 0.882905 0.978633 1.03832 0.938987 5.68077 6.25159
112 4.46 0.868549 1.00549 1.07318 0.972557 5.96901 6.43831
113 4.5 0.858954 1.03253 1.09927 1.00756 6.06942 6.63159
114 4.54 0.845126 1.05961 1.10804 1.04348 6.52162 6.84297
115 4.58 0.863304 1.08776 1.11104 1.08013 6.69293 7.06375
116 4.62 0.869593 1.11662 1.12619 1.11793 6.78648 7.29154
117 4.66 0.880483 1.14634 1.10544 1.15568 7.05944 7.53261
118 4.7 0.901185 1.17729 1.10437 1.19404 6.96388 7.77453
119 4.74 0.903338 1.20884 1.07858 1.23215 7.1691 8.02782
120 4.78 0.922622 1.24161 1.05912 1.2702 7.12663 8.28389
121 4.82 0.91765 1.27475 1.02461 1.30764 7.3152 8.55114
122 4.86 0.931185 1.30894 1.01506 1.34534 7.35983 8.82451
123 4.9 0.935881 1.34387 0.987821 1.38264 7.43265 9.10515
124 4.94 0.942154 1.37962 0.970161 1.41987 7.51728 9.39363
125 4.98 0.95621 1.41648 0.951241 1.45697 7.49931 9.6861
126 5.02 0.918068 1.45245 0.938865 1.49417 7.59615 9.98713
127 5.06 0.935209 1.48967 0.934663 1.53181 7.41342 10.2856
128 5.1 0.92453 1.52705 0.918067 1.56936 7.4588 10.5907
129 5.14 0.915822 1.56467 0.90347 1.60689 7.33385 10.8954
130 5.18 0.915854 1.60287 0.874578 1.6438 7.18825 11.1987
131 5.22 0.898026 1.64091 0.884077 1.68168 6.92463 11.4954
132 5.26 0.875219 1.67855 0.860151 1.7191 6.77759 11.7903
133 5.3 0.882443 1.71709 0.84923 1.75662 6.54168 12.0793
134 5.34 0.860683 1.75524 0.838119 1.7942 6.11624 12.3536
135 5.38 0.840272 1.79305 0.821 1.83157 6.12317 12.6323
136 5.42 0.833472 1.83111 0.81647 1.86929 5.79082 12.8998
137 5.46 0.822655 1.86924 0.786454 1.90616 5.72277 13.1681
138 5.5 0.815887 1.9076 0.765141 1.94255 5.40452 13.4252
139 5.54 0.793113 1.94545 0.754406 1.97897 5.44339 13.6879
140 5.58 0.785226 1.98345 0.738948 2.01515 5.42145 13.9533
141 5.62 0.779718 2.02174 0.730565 2.05143 5.20597 14.2119
142 5.66 0.769841 2.06008 0.720765 2.08774 5.15053 14.4714
143 5.7 0.773472 2.09914 0.70405 2.12372 5.16976 14.7355
144 5.74 0.755297 2.13783 0.704616 2.16022 5.07685 14.9986
145 5.78 0.757242 2.17716 0.701567 2.19708 5.10848 15.2669
146 5.82 0.74205 2.21623 0.687546 2.2337 5.09707 15.5384
147 5.86 0.748239 2.25617 0.684119 2.27065 5.13314 15.8156
148 5.9 0.745547 2.29652 0.686396 2.30822 5.1008 16.0949
149 5.94 0.74027 2.33712 0.683327 2.34614 5.26653 16.3871
150 5.98 0.748321 2.37872 0.677886 2.38426 5.40793 16.6912
151 6.02 0.741906 2.42052 0.688217 2.42348 5.47685 17.0033
152 6.06 0.733604 2.4624 0.689525 2.4633 5.59357 17.3263
153 6.1 0.747424 2.50563 0.690934 2.50373 5.74585 17.6626
154 6.14 0.735455 2.54874 0.690235 2.54465 5.87033 18.0106
155 6.18 0.73477 2.59236 0.705042 2.58699 6.00077 18.371
156 6.22 0.738386 2.63677 0.705341 2.62991 6.21672 18.7492
157 6.26 0.734826 2.68154 0.712154 2.67379 6.18869 19.1306
158 6.3 0.732031 2.7267 0.730906 2.71941 6.3773 19.5286
159 6.34 0.737797 2.7728 0.749007 2.76676 6.51638 19.9405
160 6.38 0.733364 2.81921 0.7558 2.81514 6.57664 20.3615
161 6.42 0.731466 2.86608 0.773469 2.86527 6.69296 20.7953
162 6.46 0.744243 2.91436 0.772001 2.91593 6.75443 21.2386
163 6.5 0.741196 2.96304 0.790436 2.96845 6.74755 21.6869
164 6.54 0.741101 3.01232 0.797776 3.02211 6.75039 22.1409
165 6.58 0.742277 3.06228 0.812502 3.07743 6.87453 22.609
166 6.62 0.752181 3.11352 0.818955 3.13387 6.85612 23.0815
167 6.66 0.747348 3.16505 0.822099 3.19121 6.87454 23.561
168 6.7 0.748901 3.21732 0.839462 3.25047 6.94169 24.051
169 6.74 0.758972 3.27091 0.841671 3.3106 6.95455 24.5478
170 6.78 0.761705 3.32535 0.848091 3.3719 6.95817 25.0508
171 6.82 0.767804 3.38086 0.863573 3.43507 6.85566 25.5523
172 6.86 0.772417 3.43737 0.858446 3.4986 6.98544 26.0692
173 6.9 0.782807 3.49531 0.875614 3.56415 6.912 26.5867
174 6.94 0.7944 3.55479 0.859774 3.62927 6.8644 27.1066
175 6.98 0.797824 3.61521 0.86881 3.69584 6.86277 27.6324
176 7.02 0.801737 3.67663 0.86297 3.76271 6.82382 28.1612
177 7.06 0.804191 3.73895 0.869987 3.83091 6.83698 28.6971
178 7.1 0.815578 3.80286 0.870032 3.89988 6.7987 29.2361
179 7.14 0.820755 3.86791 0.866263 3.96932 6.80099 29.7813
180 7.18 0.820994 3.9337 0.867807 4.03967 6.77301 30.3304
181 7.22 0.833963 4.00128 0.872218 4.11117 6.66092 30.8764
182 7.26 0.833304 4.06956 0.866335 4.18298 6.60286 31.4237
183 7.3 0.829432 4.13827 0.877751 4.25654 6.59747 31.9766
184 7.34 0.841018 4.20871 0.872366 4.33045 6.62789 32.5381
185 7.38 0.835438 4.27945 0.857121 4.40386 6.57915 33.1016
186 7.42 0.834621 4.35088 0.861379 4.47844 6.50431 33.6647
187 7.46 0.841061 4.42364 0.855499 4.5533 6.49686 34.2333
188 7.5 0.836511 4.49679 0.859973 4.62938 6.42192 34.8014
189 7.54 0.833723 4.57047 0.857672 4.70605 6.33131 35.3674
190 7.58 0.8368 4.64522 0.844788 4.78238 6.28317 35.9351
191 7.62 0.833703 4.72047 0.839551 4.85904 6.22127 36.5032
192 7.66 0.833928 4.79654 0.83682 4.93626 6.06409 37.0627
193 7.7 0.837944 4.87377 0.835766 5.01418 6.03918 37.6258
194 7.74 0.830017 4.95107 0.832156 5.09258 6.0879 38.1993
195 7.78 0.835112 5.02965 0.822826 5.1709 5.96023 38.7666
196 7.82 0.842368 5.10973 0.820515 5.2498 5.90677 39.3347
197 7.86 0.832731 5.1897 0.821932 5.32965 5.82561 39.9006
198 7.9 0.833339 5.27055 0.814671 5.40961 5.80806 40.4707
199 7.94 0.834743 5.35236 0.80956 5.48987 5.78278 41.044
200 7.98 0.83066 5.43459 0.803338 5.57031 5.77698 41.6225
2000 200
1 0.02 0 0 0 0 0 0
2 0.06 0 0 0 0 0 0
3 0.1 0 0 0 0 0 0
4 0.14 0 0 0 0 0 0
5 0.18 0 0 0 0 0 0
6 0.22 0 0 0 0 0 0
7 0.26 0 0 0 0 0 0
8 0.3 0 0 0 0 0 0
9 0.34 0 0 0 0 0 0
10 0.38 0 0 0 0 0 0
11 0.42 0 0 0 0 0 0
12 0.46 0 0 0 0 0 0
13 0.5 0 0 0 0 0 0
14 0.54 0 0 0 0 0 0
15 0.58 0 0 0 0 0 0
16 0.62 0 0 0 0 0 0
17 0.66 0 0 0 0 0 0
18 0.7 0 0 0 0 0 0
19 0.74 0 0 0 0 0 0
20 0.78 0 0 0 0 0 0
21 0.82 0 0 0 0 0 0
22 0.86 0 0 0 0 0 0
23 0.9 0 0 0 0 0 0
24 0.94 0 0 0 0 0 0
25 0.98 0 0 0 0 0 0
