# Time-averaged data for fix out_vacf
Step VACF_x VACF_y VACF_z VACF_total
0 6.22426 6.4028 6.49014 19.1172
5 5.96113 6.06738 6.15708 18.1856
10 5.17346 5.21111 5.30246 15.687
15 3.97544 3.96773 4.0597 12.0029
20 2.53357 2.51871 2.61389 7.66616
25 1.03661 1.0553 1.15437 3.24628
30 -0.336609 -0.252437 -0.159499 -0.748544
35 -1.44717 -1.27925 -1.21346 -3.93988
40 -2.21461 -1.95935 -1.94433 -6.11829
45 -2.62082 -2.29063 -2.33972 -7.25117
50 -2.69857 -2.32441 -2.43375 -7.45673
55 -2.51242 -2.14391 -2.29464 -6.95097
60 -2.14469 -1.83983 -2.00535 -5.98988
65 -1.68545 -1.49462 -1.64743 -4.82751
70 -1.22231 -1.1742 -1.28808 -3.68459
75 -0.827119 -0.919909 -0.974734 -2.72176
80 -0.545029 -0.745177 -0.734482 -2.02469
85 -0.388503 -0.641633 -0.575528 -1.60566
90 -0.338935 -0.587593 -0.491991 -1.41852
95 -0.360123 -0.554317 -0.466846 -1.38129
100 -0.414103 -0.513766 -0.471982 -1.39985
105 -0.465468 -0.447034 -0.474103 -1.3866
110 -0.482303 -0.35023 -0.447676 -1.28021
115 -0.44388 -0.234662 -0.384408 -1.06295
120 -0.34783 -0.120963 -0.29345 -0.762243
125 -0.211254 -0.028845 -0.190384 -0.430483
130 -0.0631842 0.0281928 -0.0892001 -0.124191
135 0.0696233 0.0420118 -0.00262297 0.109012
140 0.168491 0.00974727 0.0582486 0.236486
145 0.221766 -0.0617686 0.0850521 0.24505
150 0.226812 -0.153299 0.0743549 0.147868
155 0.194392 -0.238464 0.0319502 -0.0121226
160 0.142713 -0.296973 -0.0268799 -0.18114
165 0.0827014 -0.323833 -0.0847249 -0.325857
170 0.013751 -0.323237 -0.128903 -0.43839
175 -0.0672968 -0.297084 -0.153689 -0.51807
180 -0.153874 -0.245825 -0.159918 -0.559617
185 -0.230767 -0.176363 -0.154992 -0.562122
190 -0.284609 -0.10395 -0.14895 -0.537508
195 -0.308304 -0.0469862 -0.14709 -0.50238
200 -0.299821 -0.0180659 -0.149449 -0.467336
205 -0.261764 -0.0142716 -0.156038 -0.432073
210 -0.200282 -0.0214192 -0.164503 -0.386204
215 -0.124762 -0.0298606 -0.169829 -0.324452
220 -0.0480874 -0.0383455 -0.1699 -0.256333
225 0.0137602 -0.0453883 -0.16607 -0.197698
230 0.0478594 -0.0440966 -0.161537 -0.157774
235 0.0505064 -0.0277376 -0.158509 -0.13574
240 0.0257608 0.00278262 -0.156925 -0.128382
245 -0.017707 0.0391152 -0.152374 -0.130965
250 -0.0666863 0.0713094 -0.137509 -0.132886
255 -0.105455 0.0924049 -0.106391 -0.119441
260 -0.119289 0.0990518 -0.0544089 -0.0746459
265 -0.0977451 0.0922563 0.0195024 0.0140136
270 -0.0406635 0.0793947 0.103971 0.142703
275 0.0394309 0.0717833 0.175957 0.287171
280 0.124281 0.0784421 0.217788 0.420511
285 0.19792 0.0997425 0.228385 0.526047
290 0.250724 0.12648 0.214775 0.591978
295 0.279032 0.14796 0.183338 0.610331
300 0.284209 0.158989 0.141006 0.584204
305 0.270365 0.159513 0.0964948 0.526373
310 0.240822 0.149169 0.0565586 0.446549
315 0.196306 0.124831 0.0236204 0.344757
320 0.136916 0.0861071 -0.0059742 0.217049
325 0.0662803 0.0379955 -0.0378506 0.0664251
330 -0.00659042 -0.0127828 -0.0698143 -0.0891875
335 -0.0732096 -0.0615891 -0.0926946 -0.227493
340 -0.131049 -0.10604 -0.100814 -0.337903
345 -0.179583 -0.145026 -0.096527 -0.421136
350 -0.215636 -0.178692 -0.0853487 -0.479676
355 -0.233444 -0.207652 -0.069964 -0.51106
360 -0.227389 -0.229932 -0.0485654 -0.505886
365 -0.194185 -0.240273 -0.0208345 -0.455292
370 -0.136532 -0.233863 0.00559714 -0.364797
375 -0.0645436 -0.209825 0.0218663 -0.252502
380 0.00840286 -0.173031 0.0250516 -0.139577
385 0.0718648 -0.132332 0.0157236 -0.044744
390 0.120799 -0.0952384 -0.00574222 0.0198183
395 0.151336 -0.0624575 -0.0379466 0.0509316
400 0.157056 -0.0277862 -0.0761619 0.0531077
405 0.133483 0.0154437 -0.11461 0.0343159
410 0.0851019 0.0677245 -0.146518 0.00630873
415 0.0240177 0.123806 -0.162079 -0.0142551
420 -0.0361655 0.177368 -0.151968 -0.0107648
