Step Temp PotEng KinEng Press Lx Ly Lz Volume
0 769.369607666438 -329446.178786245 5872.75158352127 6.21425402799519 100.171277560035 100.171277560035 100.171277560035 1005147.13262641
1000 769.914715671962 -329450.701743059 5876.91250159073 -310.116758391651 100.177236988706 100.177236988706 100.177236988706 1005326.53911377
2000 765.652988848397 -329559.266926099 5844.38189120239 -15.7234099831521 100.157387819451 100.157387819451 100.157387819451 1004729.06975989
3000 758.491192831997 -329527.545446653 5789.71447455756 254.427895718288 100.15742545257 100.15742545257 100.15742545257 1004730.20231046
4000 750.152985048982 -329634.932388412 5726.06727238908 -254.290928783507 100.150210552445 100.150210552445 100.150210552445 1004513.0889256
5000 744.063579291941 -329678.808164541 5679.58562436709 -214.969249767784 100.148058373647 100.148058373647 100.148058373647 1004448.33083965
6000 744.224518161481 -329727.710597313 5680.81410284028 14.4646900907818 100.13090366779 100.13090366779 100.13090366779 1003932.25300789
7000 739.311978532732 -329765.329367963 5643.3157085752 440.470321529064 100.11224627789 100.11224627789 100.11224627789 1003371.16951899
8000 733.311716482621 -329810.011275647 5597.51451223835 211.226267281687 100.114171686094 100.114171686094 100.114171686094 1003429.06262324
9000 730.350230387012 -329866.953766887 5574.90889851998 -218.60518939468 100.121935426782 100.121935426782 100.121935426782 1003662.52509093
10000 722.598030221769 -329915.144609332 5515.73480931428 -91.9803798172029 100.108753266731 100.108753266731 100.108753266731 1003266.14747008
11000 716.861079533037 -329951.037115558 5471.94352108804 374.271580582865 100.084529182724 100.084529182724 100.084529182724 1002538.01964053
12000 716.908171118039 -329967.732780527 5472.30298054372 402.761594114337 100.078689052855 100.078689052855 100.078689052855 1002362.529663
13000 712.098507060889 -330041.201082528 5435.58985602415 753.3067836332 100.057660760251 100.057660760251 100.057660760251 1001730.82042821
14000 699.202846771157 -330083.718218211 5337.15471037708 317.595355029858 100.068227990213 100.068227990213 100.068227990213 1002048.23654159
15000 694.101772280672 -330134.976747509 5298.21719192932 -227.209462872816 100.063790162126 100.063790162126 100.063790162126 1001914.92587879
16000 693.841839938246 -330139.304888639 5296.23307654397 238.800881596214 100.056686342011 100.056686342011 100.056686342011 1001701.55444491
17000 692.549407023523 -330210.146419217 5286.36767846885 313.266567956132 100.04002692619 100.04002692619 100.04002692619 1001201.28849626
18000 681.241487648551 -330262.967420362 5200.05207572867 381.925385389348 100.035106776625 100.035106776625 100.035106776625 1001053.57308776
19000 678.653906598864 -330269.782510765 5180.30055376106 -55.231281475023 100.044984941939 100.044984941939 100.044984941939 1001350.1554427
20000 674.013780884627 -330317.551333638 5144.88154920917 99.2637197618555 100.032096335963 100.032096335963 100.032096335963 1000963.19916438
21000 665.147392722043 -330372.520180976 5077.20264091454 -544.128575624795 100.041281493719 100.041281493719 100.041281493719 1001238.95613045
22000 663.988643359162 -330461.314251967 5068.35767603946 -617.363812067489 100.030447569578 100.030447569578 100.030447569578 1000913.70523192
23000 657.514645967505 -330477.527605117 5018.94036340492 -33.1092344123045 100.006841781013 100.006841781013 100.006841781013 1000205.26747371
24000 655.027307029588 -330534.888312379 4999.95400945897 -176.944155517653 99.9997475113939 99.9997475113939 99.9997475113939 999992.425360941
25000 650.729422876492 -330586.815738216 4967.14740296663 669.938602174498 99.9817310208978 99.9817310208978 99.9817310208978 999452.030747515
26000 643.388767816004 -330611.776559438 4911.11471958403 415.638159458234 99.9751349011234 99.9751349011234 99.9751349011234 999254.23250027
27000 640.127626281586 -330663.695726808 4886.22177616711 -310.112397895635 99.9829437485469 99.9829437485469 99.9829437485469 999488.39972616
28000 634.173859458811 -330715.512025761 4840.775487169 -228.274990520735 99.9787898519774 99.9787898519774 99.9787898519774 999363.830510892
29000 625.659888539301 -330741.879190171 4775.78664994257 61.3180907541176 99.9582050328002 99.9582050328002 99.9582050328002 998746.674956782
30000 626.568117312793 -330763.001315115 4782.71934121939 -98.8463692810025 99.9642862639451 99.9642862639451 99.9642862639451 998928.970514085
31000 621.151707911097 -330824.520259915 4741.37480853465 145.820771261661 99.9490632562425 99.9490632562425 99.9490632562425 998472.675920675
32000 615.437081703242 -330857.410242423 4697.75392752116 416.2252923796 99.9324533991715 99.9324533991715 99.9324533991715 997974.970429947
