Step Temp PotEng KinEng Press Lx Ly Lz Volume
0 773 -329322.654625074 5900.4630918955 -16037.0365466811 100 100 100 1000000
1000 723.892881524886 -323700.873858952 5525.61866743011 169.734408891305 100.317321348511 100.317321348511 100.317321348511 1009549.88025879
2000 781.122188187871 -323422.066528302 5962.46137343233 -233.868431641508 100.386345246037 100.386345246037 100.386345246037 1011635.19384277
3000 770.085759395825 -323867.193870487 5878.21811243129 106.625611271678 100.343953760371 100.343953760371 100.343953760371 1010354.14475909
4000 775.354936675191 -324173.754760117 5918.43879297664 -233.259785874153 100.346707680937 100.346707680937 100.346707680937 1010437.33396932
5000 770.532900695699 -324528.043622606 5881.63123110758 195.783229438624 100.307805370133 100.307805370133 100.307805370133 1009262.61351051
6000 774.496267933939 -324800.879142793 5911.88440330533 382.924105017804 100.294455437424 100.294455437424 100.294455437424 1008859.69985457
7000 770.763008703563 -325140.713891194 5883.38769140195 938.917170684464 100.260575456995 100.260575456995 100.260575456995 1007837.65127346
8000 775.395313562612 -325424.703093823 5918.74699780716 -248.743413993301 100.280534855609 100.280534855609 100.280534855609 1008439.67768789
9000 772.179326362815 -325614.619108896 5894.19872642758 -326.131189081514 100.27050604875 100.27050604875 100.27050604875 1008137.15331311
10000 772.782062570841 -325800.271989272 5898.7995320545 82.3361419017805 100.255793619414 100.255793619414 100.255793619414 1007693.45443182
11000 771.622688104655 -326014.555329507 5889.94979564129 -130.555548432387 100.261292247907 100.261292247907 100.261292247907 1007859.26736822
12000 771.945697321392 -326124.572963454 5892.41538938216 -647.624738791828 100.274836882324 100.274836882324 100.274836882324 1008267.78782316
13000 772.487543944951 -326297.580636922 5896.55141267295 -293.068005926483 100.25720258209 100.25720258209 100.25720258209 1007735.94042794
14000 774.448645806686 -326414.698769826 5911.52089411488 542.460438178972 100.239341546158 100.239341546158 100.239341546158 1007197.44540797
15000 772.250321401793 -326547.646606976 5894.74064571245 283.580248403622 100.23891064058 100.23891064058 100.23891064058 1007184.45634226
16000 776.062119386614 -326630.646987016 5923.83685958463 460.133387618824 100.24116276362 100.24116276362 100.24116276362 1007252.34477806
17000 771.942952222208 -326734.953007412 5892.39443549288 -127.00679216974 100.249694419125 100.249694419125 100.249694419125 1007509.5523324
18000 771.115974491845 -326761.324458203 5886.08194962505 -36.1667328563332 100.248929392316 100.248929392316 100.248929392316 1007486.48694731
19000 773.110297119611 -326893.280138674 5901.30501179642 111.000612798264 100.249718599183 100.249718599183 100.249718599183 1007510.28136141
20000 772.187714875557 -326912.337910786 5894.26275761753 -633.074987014763 100.271994257519 100.271994257519 100.271994257519 1008182.04211079
21000 770.381835030561 -327000.964013977 5880.47811677174 -565.538376752798 100.26481587026 100.26481587026 100.26481587026 1007965.53291219
22000 772.27468490551 -327032.084355047 5894.92661719301 81.437376483631 100.253429076457 100.253429076457 100.253429076457 1007622.15645956
23000 772.431115658185 -327094.749159565 5896.1206843115 530.359518244462 100.241770875559 100.241770875559 100.241770875559 1007270.67634593
24000 774.315227118726 -327136.565555836 5910.50248267365 518.797390131579 100.231645816403 100.231645816403 100.231645816403 1006965.48485742
25000 771.958713806257 -327169.678615224 5892.51474680588 306.765078018152 100.249650900875 100.249650900875 100.249650900875 1007508.24025757
26000 772.544210230957 -327200.556536293 5896.98395773004 -15.3595533153926 100.239336359913 100.239336359913 100.239336359913 1007197.28907498
27000 775.622187600646 -327224.807545832 5920.47877256516 -32.5826287476149 100.249899853331 100.249899853331 100.249899853331 1007515.74618715
28000 770.970626795989 -327251.977412051 5884.97248168858 497.559683880111 100.240357731827 100.240357731827 100.240357731827 1007228.07739248
29000 773.826680884806 -327344.937090055 5906.77331188202 578.231021059995 100.232175981646 100.232175981646 100.232175981646 1006981.46367091
30000 777.879841809577 -327356.990276177 5937.71189718877 -35.9845898863238 100.248871535549 100.248871535549 100.248871535549 1007484.74259319
31000 772.865373111629 -327424.302635179 5899.43545801968 -636.312259553327 100.25761159877 100.25761159877 100.25761159877 1007748.27417991
32000 775.208559100583 -327418.239171136 5917.32146377035 -4.50262435863212 100.251500153629 100.251500153629 100.251500153629 1007563.99621502
33000 773.301752168318 -327485.34513415 5902.76642634836 11.9356604597349 100.246946840654 100.246946840654 100.246946840654 1007426.71510173
34000 772.439128216941 -327531.229222893 5896.18184576973 -251.036901271867 100.236541411585 100.236541411585 100.236541411585 1007113.0411343
35000 773.897224229278 -327552.131253431 5907.31178329267 -338.233783464604 100.250873533936 100.250873533936 100.250873533936 1007545.10306646
36000 773.556955766802 -327601.921735947 5904.71444628856 253.088948709245 100.235497864047 100.235497864047 100.235497864047 1007081.58675512
37000 772.327542728361 -327616.508502974 5895.33009149165 206.872284182756 100.23188274869 100.23188274869 100.23188274869 1006972.6258117
38000 772.083874353767 -327606.455546499 5893.47012221487 349.226661753641 100.22734041627 100.22734041627 100.22734041627 1006835.72933736
39000 771.882316705053 -327641.481674589 5891.93159250318 -2.64616857799752 100.234186688158 100.234186688158 100.234186688158 1007042.06650981
40000 777.612556576764 -327614.881614525 5935.67165572536 -172.076657053163 100.250758999322 100.250758999322 100.250758999322 1007541.64977014
41000 772.485981168443 -327696.614806183 5896.53948368834 -137.118120572676 100.233685614654 100.233685614654 100.233685614654 1007026.9638909
42000 771.690691191281 -327674.014426868 5890.46887675742 -470.676471691412 100.25035302082 100.25035302082 100.25035302082 1007529.40930638
43000 773.542846627613 -327755.745627392 5904.60674841658 774.917166828937 100.22132691031 100.22132691031 100.22132691031 1006654.51383149
44000 774.216204882212 -327782.481381329 5909.74662620298 317.832490809354 100.229447925927 100.229447925927 100.229447925927 1006899.24376263
45000 774.138190409628 -327830.918751032 5909.15112618213 38.7636968884356 100.23443547762 100.23443547762 100.23443547762 1007049.56521111
46000 770.760925351399 -327846.165652694 5883.37178875958 428.551671977448 100.22947495593 100.22947495593 100.22947495593 1006900.05838839
47000 773.660863826629 -327836.867008186 5905.50759722253 64.3425505221744 100.239378204216 100.239378204216 100.239378204216 1007198.55042069
48000 771.759554446882 -327884.33268997 5890.99452371481 215.869705301763 100.230766144053 100.230766144053 100.230766144053 1006938.97251456
49000 774.825664588436 -327948.359009408 5914.39875363192 414.65006508015 100.230116651977 100.230116651977 100.230116651977 1006919.39784688
50000 772.116959688332 -327901.246735841 5893.72266916891 248.232121200708 100.236063447418 100.236063447418 100.236063447418 1007098.63436276
51000 772.977525296371 -327970.940858255 5900.29153800254 -655.279546565319 100.248551071163 100.248551071163 100.248551071163 1007475.08078027
52000 771.94497785725 -327981.606884759 5892.40989756895 -308.640863126751 100.244438827139 100.244438827139 100.244438827139 1007351.10452153
53000 777.297592826621 -327986.092091209 5933.2674746348 404.018788377 100.22555431611 100.22555431611 100.22555431611 1006781.90338316
54000 773.500065047827 -328019.924316922 5904.28018808988 460.180913484589 100.222915232412 100.222915232412 100.222915232412 1006702.37540955
55000 770.761574139062 -327986.772565776 5883.37674108515 103.531489309 100.240060236225 100.240060236225 100.240060236225 1007219.10959628
56000 771.315770910026 -328049.687532525 5887.60703551298 254.326239708909 100.220521280872 100.220521280872 100.220521280872 1006630.23804063
57000 775.110614165476 -328054.495750168 5916.57383055608 396.707387448417 100.224903166438 100.224903166438 100.224903166438 1006762.28079936
58000 772.583087322247 -328075.277852705 5897.28071431772 509.991201606139 100.213226968815 100.213226968815 100.213226968815 1006410.45848104
59000 775.97901484106 -328073.72673583 5923.20250602213 -22.2834945895989 100.231806846981 100.231806846981 100.231806846981 1006970.33818974
60000 774.171301021091 -328098.398454028 5909.40386607979 -207.270592157002 100.233356736655 100.233356736655 100.233356736655 1007017.05141714
61000 773.305187560534 -328071.355119884 5902.79264938197 -199.451854812662 100.237913769682 100.237913769682 100.237913769682 1007154.40744562
62000 770.377085283744 -328125.413313449 5880.44186100746 252.257614019778 100.221147840878 100.221147840878 100.221147840878 1006649.11795215
63000 773.747206107018 -328126.410817397 5906.16666506045 -645.41278140084 100.247315035202 100.247315035202 100.247315035202 1007437.815601
64000 766.920080284875 -328131.785990063 5854.05385272244 -728.581341288592 100.24276350207 100.24276350207 100.24276350207 1007300.59960454
65000 774.737539602481 -328156.468222686 5913.72607804705 -303.839409584673 100.231607401662 100.231607401662 100.231607401662 1006964.32707029
66000 775.076692695049 -328179.144680459 5916.31490121031 201.086590499904 100.220934300472 100.220934300472 100.220934300472 1006642.68338795
67000 770.17067104148 -328197.876569458 5878.86625994909 510.553761241153 100.206023041059 100.206023041059 100.206023041059 1006193.43362454
68000 778.535760993763 -328252.338264216 5942.71865907436 397.622680375903 100.209581600949 100.209581600949 100.209581600949 1006300.63456845
69000 772.755784689646 -328249.657881298 5898.59894774904 15.2206578915988 100.213559919139 100.213559919139 100.213559919139 1006420.48966591
70000 772.062979656548 -328227.868715934 5893.31062882578 84.9537425577531 100.228348907245 100.228348907245 100.228348907245 1006866.12209122
71000 774.299394930577 -328250.138405081 5910.38163242547 402.058281966487 100.211874053681 100.211874053681 100.211874053681 1006369.69830596
72000 774.046307052233 -328275.607331877 5908.44976219885 569.607493138495 100.20482898418 100.20482898418 100.20482898418 1006157.46459281
73000 770.139704587985 -328313.98226348 5878.62988683662 200.6041750617 100.211234621405 100.211234621405 100.211234621405 1006350.43408703
74000 773.782391581817 -328290.925522468 5906.43524280355 -11.0683098572615 100.216281625515 100.216281625515 100.216281625515 1006502.49220508
75000 775.239134480091 -328307.611515925 5917.55485173712 -18.506036142543 100.221142018916 100.221142018916 100.221142018916 1006648.94251993
76000 772.256997823819 -328293.365795856 5894.79160817267 371.692582254676 100.211673064501 100.211673064501 100.211673064501 1006363.64306501
77000 776.029720176169 -328332.219842511 5923.58954995276 -720.412799427708 100.236931574456 100.236931574456 100.236931574456 1007124.80150549
78000 772.577104476917 -328340.604909968 5897.23504606669 -456.447620633928 100.232501845344 100.232501845344 100.232501845344 1006991.28506112
79000 774.496236117457 -328415.839795632 5911.88416044378 -85.5093900219242 100.218813879383 100.218813879383 100.218813879383 1006578.79071234
80000 771.992765429753 -328433.795570534 5892.77466963597 -63.7343053534005 100.209147677708 100.209147677708 100.209147677708 1006287.56230525
81000 769.893853661401 -328417.738198676 5876.75325770543 -132.933916476251 100.221402921412 100.221402921412 100.221402921412 1006656.80427144
82000 776.423984832577 -328425.308131689 5926.59905066889 667.878685324639 100.198522792659 100.198522792659 100.198522792659 1005967.51499356
83000 769.244563733487 -328468.659488774 5871.79709825446 192.690397278303 100.202919947805 100.202919947805 100.202919947805 1006099.95974125
84000 772.797381447916 -328514.949867152 5898.91646409692 78.628630473918 100.204336867635 100.204336867635 100.204336867635 1006142.64062748
85000 774.806687964612 -328505.510989061 5914.25390127942 141.556644732503 100.200791367837 100.200791367837 100.200791367837 1006035.84428246
86000 770.147960805482 -328546.253667106 5878.6929081906 -35.9666735514262 100.200712157105 100.200712157105 100.200712157105 1006033.45840993
87000 773.469403642555 -328580.386814035 5904.04614347131 198.602254577055 100.199588486692 100.199588486692 100.199588486692 1005999.61322068
88000 774.336058139907 -328558.538692414 5910.66149001083 -336.378023096917 100.213333400273 100.213333400273 100.213333400273 1006413.66505913
89000 771.936405798963 -328566.487714669 5892.34446533927 -99.5682409919482 100.214005039393 100.214005039393 100.214005039393 1006433.90042988
90000 769.828923649175 -328577.000615531 5876.25763397878 344.35415352919 100.199679057812 100.199679057812 100.199679057812 1006002.34121375
91000 776.775471265992 -328639.871913283 5929.2820166814 700.841082660291 100.185467466724 100.185467466724 100.185467466724 1005574.34983584
92000 772.601630240363 -328655.652196519 5897.4222561081 -178.013614372736 100.204210196655 100.204210196655 100.204210196655 1006138.82495692
93000 776.301362677514 -328608.691675331 5925.66305131547 -310.304528351468 100.213440638714 100.213440638714 100.213440638714 1006416.89595699
94000 773.99875033341 -328691.15265748 5908.086752284 46.2416191126875 100.196196766514 100.196196766514 100.196196766514 1005897.458499
95000 776.595127653272 -328698.126784396 5927.90541793533 -312.46192704434 100.208048960571 100.208048960571 100.208048960571 1006254.46313339
96000 768.527239479658 -328745.028963945 5866.32161923164 -171.952126384457 100.201945641346 100.201945641346 100.201945641346 1006070.61208875
97000 774.659227913614 -328683.245382627 5913.12830931507 -36.0525920631871 100.210298227905 100.210298227905 100.210298227905 1006322.22374107
98000 771.966218043941 -328727.608919944 5892.57202814803 -85.2333148581986 100.203088848347 100.203088848347 100.203088848347 1006105.04735094
99000 771.197178753939 -328752.16514206 5886.70179794509 187.312124659239 100.198698843961 100.198698843961 100.198698843961 1005972.8175329
100000 774.377909926134 -328748.986159949 5910.98095303795 -200.069600779474 100.210010532251 100.210010532251 100.210010532251 1006313.55655702
101000 773.033274969403 -328785.590437609 5900.71708637008 531.187410260549 100.178168924158 100.178168924158 100.178168924158 1005354.59663023
102000 771.484444757988 -328754.098679186 5888.89455661837 -164.243145973589 100.207699696099 100.207699696099 100.207699696099 1006243.94159208
103000 775.857946282393 -328772.041585026 5922.2783655797 -314.121733168922 100.215547378251 100.215547378251 100.215547378251 1006480.36956368
104000 772.3084474455 -328792.23021734 5895.18433339106 -93.2373709793984 100.198522326421 100.198522326421 100.198522326421 1005967.50095083
105000 769.649803458973 -328758.775613644 5874.89037386068 181.398510698617 100.195284244833 100.195284244833 100.195284244833 1005869.97557322
106000 773.213810063682 -328829.721277794 5902.09514673306 -26.8599600690921 100.196134176395 100.196134176395 100.196134176395 1005895.57342142
107000 775.44282406999 -328813.487652186 5919.10965498085 138.290397268805 100.193418665435 100.193418665435 100.193418665435 1005813.79043303
108000 773.754359644432 -328824.89884458 5906.22126943753 -30.4278008804018 100.197169850811 100.197169850811 100.197169850811 1005926.76597451
109000 771.963207082601 -328799.300503603 5892.54904487992 178.765284104336 100.195500336848 100.195500336848 100.195500336848 1005876.48369204
110000 770.095176097608 -328855.024723289 5878.28999199315 -481.185272389238 100.202513693524 100.202513693524 100.202513693524 1006087.72265
111000 771.073741213359 -328809.371124681 5885.75957459147 -262.165825543187 100.19714604803 100.19714604803 100.19714604803 1005926.04907258
112000 778.580648677176 -328801.526337031 5943.06129570988 555.940673121256 100.185605531483 100.185605531483 100.185605531483 1005578.50716248
113000 771.468827233484 -328833.222236914 5888.7753449406 735.980024187454 100.172973725365 100.172973725365 100.172973725365 1005198.1929092
114000 775.193189569101 -328868.627405029 5917.20414507275 -74.028307254711 100.193145342268 100.193145342268 100.193145342268 1005805.55901032
115000 772.957693055105 -328853.115080143 5900.14015455154 -39.4320151868851 100.198677961952 100.198677961952 100.198677961952 1005972.18858074
