cooling_rate_K_per_ps,tag,step,strain,compressive_stress_GPa,a_type_line_length_A,a_type_density_m-2,ca_type_line_length_A,ca_type_density_m-2,c_type_line_length_A,c_type_density_m-2,hcp_partial_line_length_A,hcp_partial_density_m-2,unclassified_line_length_A,unclassified_density_m-2,a_type_line_fraction,ca_type_line_fraction,unclassified_line_fraction,dxa_quality_flag
0.25,R0p25,0,1.42713131890567e-16,0.200335786867048,5.017425688279119,543294790026091.8,0.0,0.0,0.0,0.0,619.079870617685,6.703494764303612e+16,424.3407126571478,4.594828358318123e+16,0.0047856197938123,0.0,0.4047361017336771,ACCEPTABLE
0.25,R0p25,5000,0.0100000000000001,1.72772165240782,0.0,0.0,0.0,0.0,0.0,0.0,425.13414730765805,4.625485112814706e+16,409.4096432137665,4.454401561767808e+16,0.0,0.0,0.4905789820303695,ACCEPTABLE
0.25,R0p25,10000,0.0200000000000001,2.72621785281316,6.8207590476369,743517168443899.9,0.0,0.0,0.0,0.0,572.387766861183,6.239483445995634e+16,282.3514900972364,3.077856569288221e+16,0.007916754400066,0.0,0.3277212090297974,ACCEPTABLE
0.25,R0p25,15000,0.0300000000000001,3.58452758830595,12.772928155319674,1393473092574321.5,0.0,0.0,0.0,0.0,666.1174258887149,7.26706279236535e+16,515.5561691519999,5.624502390431141e+16,0.0106935956589689,0.0,0.4316276695021078,ACCEPTABLE
0.25,R0p25,20000,0.0400000000000001,4.18183987157035,28.65481073522985,3126550371644821.0,0.0,0.0,0.0,0.0,921.7222850217022,1.0056988962222858e+17,1023.7947632350454,1.1170710311288595e+17,0.014514851179097,0.0,0.5185945481756592,CAUTION
0.25,R0p25,25000,0.0500000000000001,4.59620607456351,0.0,0.0,0.0,0.0,0.0,0.0,991.4665446230224,1.0820762185225155e+17,1794.2121739125105,1.9581844036023456e+17,0.0,0.0,0.644084388473826,CAUTION
0.25,R0p25,30000,0.06,5.06290375848044,0.0,0.0,0.0,0.0,0.0,0.0,1032.337153100187,1.1269878231328723e+17,2488.421786274608,2.716574758089588e+17,0.0,0.0,0.7067856189883012,LOW_CONFIDENCE
0.25,R0p25,35000,0.07,3.66621855980407,54.31294163895048,5906501387753069.0,0.0,0.0,0.0,0.0,1730.766644995517,1.882198842865011e+17,4711.833067345581,5.124091553748379e+17,0.0083598078859314,0.0,0.7252418676829652,LOW_CONFIDENCE
0.25,R0p25,40000,0.08,1.72478078591643,10.556557824850472,1143320542645961.0,0.0,0.0,0.0,0.0,2208.084720317809,2.3914505680053632e+17,5176.480423152161,5.606350578085667e+17,0.0014275029203376,0.0,0.6999858328559764,CAUTION
0.25,R0p25,45000,0.09,1.90557947072732,32.61750380297907,3534793347978939.0,0.0,0.0,0.0,0.0,2427.782942107949,2.6310140242295667e+17,4644.831905318154,5.033653409093614e+17,0.0045906315501894,0.0,0.6537199173387589,CAUTION
0.25,R0p25,50000,0.1,1.72206730212643,47.03688654345652,5094595166370524.0,0.0,0.0,0.0,0.0,2332.8116918936057,2.5266832145860083e+17,4149.134171201361,4.493953670529632e+17,0.0072043208486132,0.0,0.6354947363632018,CAUTION
0.25,R0p25,55000,0.11,2.10510135317386,14.082005532405825,1527349946099287.2,0.0,0.0,0.0,0.0,2004.5914037511616,2.1742020803959712e+17,4164.543137155123,4.516909698284536e+17,0.0022774563088068,0.0,0.6735237405770227,CAUTION
0.25,R0p25,60000,0.12,2.31669387226706,0.0,0.0,0.0,0.0,0.0,0.0,2325.718860936706,2.5236139236830576e+17,4196.9830499232885,4.554103696773712e+17,0.0,0.0,0.6434424119451949,CAUTION
0.25,R0p25,65000,0.13,2.12829755261032,0.0,0.0,0.0,0.0,0.0,0.0,2587.2643270295152,2.8047731037086464e+17,4759.239525366551,5.1593441286228986e+17,0.0,0.0,0.6478237296253948,CAUTION
0.25,R0p25,70000,0.14,2.03423451018346,18.177928313612373,1969861937465999.5,0.0,0.0,0.0,0.0,2631.165280974332,2.8512777962118502e+17,4231.762194016521,4.5857740940470246e+17,0.0026417163011168,0.0,0.614982905505899,CAUTION
