cooling_rate_K_per_ps,tag,frame_index,step,strain,strain_from_cell,szz_raw_GPa,compressive_stress_GPa,temperature_K,lx_A,ly_A,lz_A,cell_volume_A3,ti_matrix_volume_A3,ti_atom_count,total_line_length_A,total_dislocation_density_m-2,delta_total_dislocation_density_m-2,dislocation_segment_count,hcp_atom_count,fcc_atom_count,other_structure_atom_count,hcp_identified_fraction,other_structure_fraction,a_type_line_length_A,ca_type_line_length_A,c_type_line_length_A,hcp_partial_line_length_A,other_recognized_line_length_A,unclassified_line_length_A,a_type_density_m-2,ca_type_density_m-2,c_type_density_m-2,hcp_partial_density_m-2,other_recognized_density_m-2,unclassified_density_m-2,a_type_line_fraction,ca_type_line_fraction,unclassified_line_fraction,dxa_quality_flag,line_length_balance_error_A
2.0,R2p0,0,0,0.0,0.0,-0.0176651238820598,0.0176651238820598,373.486392418549,99.5987769467824,99.5987769467824,99.5987769467824,988011.5377961398,924662.0352533356,52800,1050.840918742959,1.1364594615967478e+17,0.0,25,35021,1687,16092,0.6632765151515152,0.3047727272727272,0.0,0.0,0.0,582.182614817895,0.0,468.6583039250641,0.0,0.0,0.0,6.29616651946125e+16,0.0,5.0684280965062296e+16,0.0,0.0,0.4459840643488496,ACCEPTABLE,0.0
2.0,R2p0,1,5000,0.0099999999999999,0.0099999999999999,-1.35425648984061,1.35425648984061,374.454317912584,99.81573516289312,100.05885499503208,98.60278917731458,984790.2464132744,921607.3502043908,52800,1041.8552936033118,1.1304763285278192e+17,-598313306892864.0,26,35069,1638,16093,0.6641856060606061,0.3047916666666667,0.0,0.0,0.0,752.5802499994647,0.0,289.2750436038471,0.0,0.0,0.0,8.16595321025337e+16,0.0,3.1388100750248216e+16,0.0,0.0,0.2776537637999361,ACCEPTABLE,0.0
2.0,R2p0,2,10000,0.02,0.02,-2.65925726501693,2.65925726501693,374.083995069544,100.10393533243612,100.50814498892834,97.60680140784676,982047.4893426944,918997.7639153732,52800,1845.9695151088447,2.0086768299023117e+17,8.722173683055635e+16,65,34969,1686,16145,0.6622916666666666,0.3057765151515151,4.314779239027981,0.0,0.0,817.4212638572205,0.0,1024.233472012596,469509220636723.1,0.0,0.0,8.894703512385189e+16,0.0,1.114511386457425e+17,0.0023374054683528,0.0,0.554848530070229,CAUTION,2.273736754432321e-13
2.0,R2p0,3,15000,0.0299999999999999,0.0299999999999999,-3.14512889665256,3.14512889665256,374.073649181415,100.2789710767766,101.37569029274424,96.61081363837891,982131.0315900632,919323.335176735,52800,2721.230817079517,2.9600367062980896e+17,1.8235772447013414e+17,120,32439,2966,17395,0.614375,0.3294507575757576,29.135697872097715,0.0,0.0,1025.361130232044,0.0,1666.7339889753769,3169254685186092.0,0.0,0.0,1.115343308494311e+17,0.0,1.813000850951919e+17,0.0107068087312662,0.0,0.6124926920988464,CAUTION,-1.3642420526593924e-12
2.0,R2p0,4,20000,0.04,0.04,-3.31748996050783,3.31748996050783,373.515868047761,100.6329328185108,102.16488439402418,95.6148258689111,983030.5532049146,920376.1984251034,52800,3293.7064090079684,3.578652310483448e+17,2.4421928488867e+17,126,30909,4079,17812,0.5853977272727273,0.3373484848484848,18.677748494063923,0.0,0.0,1022.9427122352286,0.0,2252.085948278674,2029360225310503.2,0.0,0.0,1.1114397721123507e+17,0.0,2.4469189361179898e+17,0.0056707387285588,0.0,0.6837543085562929,CAUTION,1.8189894035458565e-12
2.0,R2p0,5,25000,0.0499999999999999,0.0499999999999999,-3.64004223719166,3.64004223719166,372.519824322299,100.9492103816548,102.9322203412062,94.61883809944328,983177.3795538372,920615.9594335896,52800,3996.984901152262,4.341641984581078e+17,3.20518252298433e+17,178,29576,5232,17992,0.5601515151515152,0.3407575757575757,24.017838140628903,0.0,0.0,1133.302183124183,0.0,2839.6648798874503,2608887874962098.0,0.0,0.0,1.2310260011367277e+17,0.0,3.0845271046947296e+17,0.0060089889590788,0.0,0.7104517405279224,LOW_CONFIDENCE,-4.547473508864641e-13
2.0,R2p0,6,30000,0.0599999999999999,0.0599999999999998,-3.48889414963483,3.48889414963483,373.501614466967,101.21197673436632,103.88263630398048,93.62285032997546,984366.2804552648,921763.3264343472,52800,4595.906952530368,4.985994583130893e+17,3.849535121534145e+17,210,27620,6705,18475,0.5231060606060606,0.349905303030303,18.680936414197333,0.0,0.0,986.3715366285252,0.0,3590.8544794876457,2026652165308064.0,0.0,0.0,1.070091973005806e+17,0.0,3.895636088472007e+17,0.004064689865819,0.0,0.7813157482465196,LOW_CONFIDENCE,-9.094947017729282e-13
2.0,R2p0,7,35000,0.0699999999999999,0.0699999999999999,-2.64215602708392,2.64215602708392,373.372115112891,101.15786241018678,105.26627701507016,92.62686256050765,986338.217364834,923591.4532017814,52800,7200.22276283373,7.795895834541317e+17,6.65943637294457e+17,279,23842,8979,19979,0.4515530303030303,0.3783901515151515,15.832848816275424,0.0,0.0,1505.3668676076632,0.0,5679.0230464097895,1714269741387087.8,0.0,0.0,1.6299055847572666e+17,0.0,6.148847552370179e+17,0.0021989387464512,0.0,0.7887287981871751,LOW_CONFIDENCE,1.8189894035458565e-12
2.0,R2p0,8,40000,0.08,0.08,-1.78626027401112,1.78626027401112,374.560638619561,100.9521096219722,106.76370519900472,91.6308747910398,987599.5175688056,924541.273304722,52800,6942.667979982696,7.509311028556367e+17,6.37285156695962e+17,269,20635,11968,20197,0.3908143939393939,0.3825189393939394,11.172493240113942,0.0,0.0,1571.7908701541471,0.0,5359.704616588434,1208436395725036.5,0.0,0.0,1.7000764763436326e+17,0.0,5.797150188255483e+17,0.0016092506904156,0.0,0.7719949494980448,LOW_CONFIDENCE,9.094947017729282e-13
2.0,R2p0,9,45000,0.0899999999999999,0.0899999999999999,-1.61416597733452,1.61416597733452,371.862206956217,101.0361091049886,107.91160298016987,90.63488702157198,988189.3175083112,925119.548395802,52800,5524.082747274026,5.971209620262623e+17,4.834750158665875e+17,179,19278,13543,19979,0.3651136363636363,0.3783901515151515,13.729861329465892,0.0,0.0,1464.3191783442642,0.0,4046.033707600293,1484117523327020.2,0.0,0.0,1.582843191329659e+17,0.0,4.373525253699691e+17,0.0024854554063733,0.0,0.7324353911238737,LOW_CONFIDENCE,1.8189894035458565e-12
