cooling_rate_K_per_ps,tag,step,strain,compressive_stress_GPa,total_line_length_A,ti_matrix_volume_A3,total_dislocation_density_m-2,delta_total_dislocation_density_m-2,hcp_identified_fraction,other_structure_fraction,unclassified_line_fraction,dxa_quality_flag
0.25,R0p25,0,1.42713131890567e-16,0.200335786867048,1048.4380089631115,923518.093747624,1.135265260162434e+17,0.0,0.7335984848484849,0.248030303030303,0.4047361017336771,ACCEPTABLE
0.25,R0p25,5000,0.0100000000000001,1.72772165240782,834.5437905214247,919112.5621177384,9.079886674582515e+16,-2.2727659270418256e+16,0.732405303030303,0.2525568181818182,0.4905789820303695,ACCEPTABLE
0.25,R0p25,10000,0.0200000000000001,2.72621785281316,861.5600160060562,917364.0283131596,9.391691732128243e+16,-1.960960869496096e+16,0.7340340909090909,0.243560606060606,0.3277212090297974,ACCEPTABLE
0.25,R0p25,15000,0.0300000000000001,3.58452758830595,1194.4465231960348,916625.3889928216,1.3030912492053926e+17,1.6782598904295856e+16,0.7063257575757576,0.2631818181818182,0.4316276695021078,ACCEPTABLE
0.25,R0p25,20000,0.0400000000000001,4.18183987157035,1974.1718589919767,916499.2509030034,2.154035431067593e+17,1.0187701709051586e+17,0.6834090909090909,0.2771590909090909,0.5185945481756592,CAUTION
0.25,R0p25,25000,0.0500000000000001,4.59620607456351,2785.678718535534,916263.1316089608,3.040260622124862e+17,1.904995361962428e+17,0.6629356060606061,0.2889583333333333,0.644084388473826,CAUTION
0.25,R0p25,30000,0.06,5.06290375848044,3520.758939374793,916014.4696421212,3.843562581222459e+17,2.708297321060025e+17,0.624905303030303,0.3096212121212121,0.7067856189883012,LOW_CONFIDENCE
0.25,R0p25,35000,0.07,3.66621855980407,6496.91265398005,919545.058459929,7.065355410490921e+17,5.930090150328486e+17,0.4971212121212121,0.374280303030303,0.7252418676829652,LOW_CONFIDENCE
0.25,R0p25,40000,0.08,1.72478078591643,7395.121701294822,923324.4248738564,8.009234351517491e+17,6.873969091355057e+17,0.4450568181818182,0.378030303030303,0.6999858328559764,CAUTION
0.25,R0p25,45000,0.09,1.90557947072732,7105.232351229087,922755.6066786344,7.700015366802975e+17,6.56475010664054e+17,0.4289393939393939,0.3813636363636363,0.6537199173387589,CAUTION
0.25,R0p25,50000,0.1,1.72206730212643,6528.982749638422,923270.3484262596,7.071582836779343e+17,5.936317576616909e+17,0.4698863636363636,0.3760037878787878,0.6354947363632018,CAUTION
0.25,R0p25,55000,0.11,2.10510135317386,6183.216546438685,921989.4607892568,6.706385278141494e+17,5.57112001797906e+17,0.4780492424242424,0.3809090909090909,0.6735237405770227,CAUTION
0.25,R0p25,60000,0.12,2.31669387226706,6522.701910859998,921582.6712282771,7.077717620456773e+17,5.942452360294339e+17,0.4678787878787879,0.4024810606060606,0.6434424119451949,CAUTION
0.25,R0p25,65000,0.13,2.12829755261032,7346.503852396067,922450.4911318754,7.964117232331546e+17,6.828851972169111e+17,0.4614015151515152,0.4129924242424242,0.6478237296253948,CAUTION
0.25,R0p25,70000,0.14,2.03423451018346,6881.105403304466,922802.1501342466,7.456750509633536e+17,6.321485249471101e+17,0.4510795454545454,0.4257386363636363,0.614982905505899,CAUTION
0.25,R0p25,75000,0.15,2.01073629916501,6991.446979977388,922796.8283224304,7.576366503867671e+17,6.441101243705236e+17,0.4408143939393939,0.4320833333333333,0.672158809309215,CAUTION
0.25,R0p25,80000,0.16,2.01572467670813,7230.276747372182,922516.7892630209,7.837555729634252e+17,6.702290469471817e+17,0.4302272727272727,0.4518371212121212,0.6618532216410149,CAUTION
0.25,R0p25,85000,0.17,1.88743821709311,7215.585695165302,923112.9089108388,7.81657977644232e+17,6.681314516279885e+17,0.4264962121212121,0.4317424242424242,0.6529810689246025,CAUTION
0.25,R0p25,90000,0.18,1.81452344121475,7095.919858276496,923331.1423669008,7.685129995817704e+17,6.549864735655269e+17,0.4085037878787879,0.4298863636363636,0.6335950659240139,CAUTION
0.25,R0p25,95000,0.19,1.93884718163217,7654.545809730504,923212.1794588944,8.29120973492456e+17,7.155944474762125e+17,0.3717234848484848,0.4495833333333333,0.7288892268374946,LOW_CONFIDENCE
0.25,R0p25,100000,0.2,1.92420838115463,8545.340560380455,923683.2930359604,9.25137503818397e+17,8.116109778021536e+17,0.3459848484848485,0.4603787878787879,0.6239874120914288,CAUTION
0.25,R0p25,105000,0.21,1.83544597580755,7303.414422767947,923928.1384218234,7.904742932976397e+17,6.769477672813962e+17,0.3426515151515151,0.4593371212121212,0.5828593032972685,CAUTION
0.25,R0p25,110000,0.22,1.78509743520419,7957.770376286184,924084.2470445908,8.61152043413439e+17,7.476255173971955e+17,0.3404545454545454,0.4525946969696969,0.6285362828465628,CAUTION
0.25,R0p25,115000,0.23,1.65925875811285,7100.615552361175,924232.8129448192,7.682713113957699e+17,6.547447853795264e+17,0.3430113636363636,0.4453598484848485,0.6111992806883932,CAUTION
0.25,R0p25,120000,0.24,1.66023362430523,6503.814970944258,924440.7858841664,7.035404614611188e+17,5.900139354448754e+17,0.3290151515151515,0.4313825757575757,0.5768915081314575,CAUTION
0.25,R0p25,125000,0.25,1.90052162967074,6983.329324441949,923822.596657616,7.559167041061334e+17,6.423901780898899e+17,0.3226136363636364,0.4322348484848485,0.5964837845356182,CAUTION
0.25,R0p25,130000,0.26,1.98285650907854,5901.569489875739,923687.1771026691,6.389143030422052e+17,5.253877770259618e+17,0.3217992424242424,0.4339204545454545,0.6049960292019492,CAUTION
